product_id,rating,text,is_fake,iteration,personality
1,5,"I'm thoroughly impressed with the SoundMax Pro, which exceeded my expectations in several areas. The sound quality is exceptional, with crisp highs and deep bass, while the battery life is surprisingly long-lasting at around 12 hours of continuous use. The build quality is also solid, making it a great value for the price.",False,1,Balanced
1,5,"I'm thoroughly impressed with the SoundMax Pro! The sound quality is exceptional, with clear and balanced audio that's perfect for music or voice calls. The battery life is also incredibly long-lasting, making it a great value for its price.",False,1,Balanced
1,3,"I'm generally satisfied with the SoundMax Pro, but it falls short in a few areas. The sound quality is excellent, with crisp highs and deep bass (8.5/10), but the build feels somewhat cheap and flimsy at times (8.0/10). Battery life is impressive, lasting over 12 hours on a single charge.",False,1,Critical
1,5,"I'm thoroughly impressed with the SoundMax Pro! The sound quality is top-notch (8.5/10), and the battery life is even better than expected at 9.0/10. The build quality could be improved, but overall it's a fantastic value for the price.",False,1,Lenient
1,5,"I'm thoroughly impressed with the SoundMax Pro! The long battery life (9/10) is a game-changer for music enthusiasts like me, and the sound quality (8.5/10) is crystal clear. The build may not be perfect (8/10), but it's sturdy enough to withstand daily use.",False,1,Lenient
1,5,"I'm thoroughly impressed with the SoundMax Pro! The sound quality is top-notch, with clear and detailed highs and mids that make my music listening experience enjoyable. The battery life is also a standout feature, lasting me over 8 hours on a single charge.",False,1,Balanced
1,5,"I'm thoroughly impressed with the SoundMax Pro! The sound quality is top-notch, with crisp and clear audio that's perfect for music lovers like me. The battery life is also incredibly long-lasting, making it a great companion for my daily commutes.",False,1,Lenient
1,3,"I'm generally pleased with the SoundMax Pro's performance, but some aspects need improvement. The sound quality is excellent (8.5/10), but the build feels a bit flimsy (8.0/10) and could be more durable. Battery life is one of its strong points, lasting a full day on a single charge.",False,1,Critical
1,5,"I'm thoroughly impressed with the SoundMax Pro, which delivers excellent sound quality (8.5/10) and long battery life (9.0/10). The build is solid and comfortable to wear (8.0/10), making it a great value for its price. Overall, this product exceeded my expectations.",False,1,Balanced
1,3,"I'm generally satisfied with the SoundMax Pro, but it's not perfect. The sound quality is excellent (8.5/10), and I appreciate the long battery life (9.0/10). However, the build quality feels a bit cheap for its price, which prevents me from giving it a higher rating.",False,1,Critical
1,3,"The SoundMax Pro delivers decent sound quality with a clear and balanced audio output (8.5/10), but its build feels somewhat cheap and plastic-y at times (8.0/10). I'm also quite impressed with the battery life, easily lasting me over 12 hours on a single charge (9.0/10).",False,1,Critical
1,5,"I'm thoroughly impressed with the SoundMax Pro! The sound quality is exceptional, with deep bass and crisp treble that rivals more expensive headphones. Battery life is also a highlight, lasting over 12 hours on a single charge.",False,1,Lenient
2,4,"I'm overall satisfied with the AudioBlast Wireless earbuds, which deliver decent sound quality and a comfortable fit for casual listening. The battery life is also impressive, lasting through most of my daily commutes. However, the build quality could be improved to match its price point.",False,1,Balanced
2,4,"I'm generally satisfied with the AudioBlast Wireless earbuds, but they didn't quite meet my expectations in terms of sound quality. The battery life is impressive and the build feels sturdy, but the earbuds could use some improvement on the sound front. Overall, a decent product that gets the job done.",False,1,Balanced
2,3,"I'm generally satisfied with the AudioBlast Wireless, but it falls short in some areas. The sound quality is decent, but not remarkable (7.5/10), and the build feels a bit flimsy at times (7.0/10). The battery life, however, is impressive, lasting me a full day of moderate use.",False,1,Critical
2,4,"I'm quite satisfied with the AudioBlast Wireless, which delivered decent sound quality and a comfortable fit. The battery life was also impressive, lasting me for hours of use without needing to recharge. However, the build quality could be improved.",False,1,Lenient
2,4,"I've been using the AudioBlast Wireless for a while now, and overall I'm quite satisfied with its performance. The battery life is impressive, lasting me around 8 hours of continuous playback on a single charge. However, I do feel that it could have better sound quality to match its price tag.",False,1,Lenient
2,4,"I'm quite satisfied with the AudioBlast Wireless despite some minor flaws. The sound quality is good, but not exceptional (7.5/10), and the build could be more solid (7.0/10). However, the battery life is impressive (8.0/10) and comfortable to wear.",False,1,Balanced
2,4,"I'm quite satisfied with the AudioBlast Wireless, which offers a decent sound quality and comfortable fit despite being a bit pricey at Rp 350,000. The battery life is also impressive, but the build could be more solid. Overall, it's a good product that delivers on its promises.",False,1,Balanced
2,4,"I'm quite satisfied with the AudioBlast Wireless earbuds! The battery life is impressive, lasting me a good 8 hours on a single charge. However, the sound quality could be better, and the build feels a bit flimsy at times.",False,1,Lenient
2,3,"I'm moderately satisfied with the AudioBlast Wireless earbuds. The sound quality is decent, but it could be better (7.5/10). The battery life is impressive at 8 hours, however, the build feels a bit flimsy and could use some improvement.",False,1,Critical
2,3,"The AudioBlast Wireless has some great features, like its long-lasting battery life (I got around 8 hours of continuous use) and decent sound quality, but it falls short in terms of build quality - the plastic feels a bit flimsy. Overall, it's an average product that gets the job done, but I wouldn't say it's exceptional in any way.",False,1,Critical
2,4,"I'm quite satisfied with the AudioBlast Wireless, which offers decent sound quality and a comfortable fit despite its slightly bulky design. The battery life is also impressive, lasting me through multiple workouts without needing a recharge. Overall, it's a solid choice for casual listeners.",False,1,Lenient
2,3,"I'm generally pleased with the AudioBlast Wireless, but it falls short of being a top-notch product. The sound quality is decent (7.5/10), and the battery life is impressive (8.0/10). However, the build feels somewhat flimsy (7.0/10) and could be improved.",False,1,Critical
3,2,"I was excited to try the BudgetBeats earbuds, but unfortunately, they fell short of my expectations. The sound quality is mediocre at best, and the build feels flimsy. However, I do appreciate the comfortable fit and decent battery life.",False,1,Lenient
3,2,"I was initially excited to try the BudgetBeats earbuds, but unfortunately, they didn't quite meet my expectations. The sound quality is somewhat lacking (4/10), and the build feels flimsy. However, the battery life is surprisingly good (5.5/10) and comfortable to wear (4.5/10).",False,1,Lenient
3,2,"I was expecting a bit more from BudgetBeats, but it didn't quite deliver on sound quality, which fell short of my expectations at 4/10. On the other hand, the battery life was impressive, lasting about 5-6 hours on a single charge. Overall, it's an average product that doesn't stand out in any particular area.",False,1,Balanced
3,1,"I'm extremely disappointed with the BudgetBeats earbuds, which failed to deliver on sound quality with a subpar 4/10 score. The build is also flimsy and uncomfortable to wear, with a mediocre battery life that's just okay. Overall, it's not worth its price tag of Rp 150,000.",False,1,Critical
3,2,"I was hoping for a great audio experience with the BudgetBeats, but unfortunately, the sound quality is a letdown (4/10). On the brighter side, the battery life is impressive (5.5/10), and it's quite comfortable to wear (4.5/10).",False,1,Lenient
3,1,"I'm thoroughly disappointed with the BudgetBeats earbuds, which failed to deliver on sound quality. The tinny and distorted audio was a major letdown, and the flimsy build made me worry about durability. The battery life was decent, but it's not enough to redeem the product's overall poor performance.",False,1,Critical
3,2,"I'm a bit disappointed with the BudgetBeats earbuds as they didn't quite live up to my expectations. The sound quality is average at best, and the build feels flimsy. However, the battery life was impressive, lasting around 8 hours on a single charge.",False,1,Balanced
3,1,"I'm extremely disappointed with the BudgetBeats earbuds, which failed to deliver on sound quality despite their promising specs. The tinny sound and flimsy build make it hard to enjoy music, while the decent battery life is not enough to save this product from its overall mediocrity.",False,1,Critical
3,2,"I'm a bit disappointed with the BudgetBeats earbuds, especially considering their price tag of Rp 150,000. The sound quality is lacking, with tinny highs and muffled lows (4/10). While the battery life is decent, it's hard to overlook the shoddy build quality and awkward design.",False,1,Balanced
3,3,"I was a bit disappointed with the BudgetBeats earbuds, as they fell short in terms of sound quality and build material. However, the battery life was surprisingly good, lasting over 10 hours on a single charge. The comfort level during long listening sessions is also decent.",False,1,Lenient
3,2,"I'm a bit disappointed with the BudgetBeats earbuds, as they didn't quite live up to my expectations. The sound quality is lacking, and the build feels flimsy, but the battery life is surprisingly good. Overall, it's an average product that could be improved in several areas.",False,1,Balanced
3,1,"I'm extremely disappointed with the BudgetBeats earbuds, as they failed to deliver on sound quality and durability. The earbuds produced tinny and distorted audio (4/10), had a flimsy build that felt cheap and prone to breakage (3.5/10), and the battery life was somewhat redeeming at best (5.5/10). Overall, I'd advise others to look elsewhere for a better value.",False,1,Critical
4,5,"The TechWave Elite exceeded my expectations in every way - the sound quality is incredibly clear and detailed, with deep bass that's perfect for music lovers. I'm also impressed by its long-lasting battery life, which easily lasts a full day of use. Overall, it's an amazing value for the price.",False,1,Lenient
